Date,act1_price,act2_price,act3_price,act4_price,act5_price
07/08/2015,17373.38086,5043.540039,1206.900024,13.39,107.235649
10/08/2015,17615.16992,5101.799805,1222.670044,12.23,111.134445
11/08/2015,17402.83984,5036.790039,1211.140015,13.71,105.351234
12/08/2015,17402.50977,5044.390137,1208.97998,13.61,106.975708
13/08/2015,17408.25,5033.560059,1204.73999,13.49,106.892189
14/08/2015,17477.40039,5048.240234,1212.689941,12.83,107.644073
17/08/2015,17545.17969,5091.700195,1225.089966,13.02,108.758026
18/08/2015,17511.33984,5059.350098,1214.890015,13.79,108.145378
19/08/2015,17348.73047,5019.049805,1202.97998,15.25,106.762238
20/08/2015,16990.68945,4877.490234,1172.52002,19.139999,104.571457
21/08/2015,16459.75,4706.040039,1156.790039,28.030001,98.175545
24/08/2015,15871.34961,4526.25,1111.689941,40.740002,95.724899
25/08/2015,15666.44043,4506.490234,1104.099976,36.02,96.300423
26/08/2015,16285.50977,4697.540039,1132.189941,30.32,101.82373
27/08/2015,16654.76953,4812.709961,1153.609985,26.1,104.822113
28/08/2015,16643.00977,4828.319824,1162.910034,26.049999,105.165558
31/08/2015,16528.0293,4776.509766,1159.449951,28.43,104.673584
01/09/2015,16058.34961,4636.100098,1128.050049,31.4,99.995018
02/09/2015,16351.37988,4749.97998,1146.030029,26.09,104.283691
03/09/2015,16374.75977,4733.5,1145.150024,25.610001,102.454964
04/09/2015,16102.37988,4683.919922,1136.170044,27.799999,101.433853
08/09/2015,16492.67969,4811.930176,1161.76001,24.9,104.255844
09/09/2015,16253.57031,4756.529785,1148.22998,26.23,102.250748
10/09/2015,16330.40039,4796.25,1153.030029,24.370001,104.497192
11/09/2015,16433.08984,4822.339844,1157.790039,23.200001,106.019585
14/09/2015,16370.95996,4805.759766,1153.5,24.25,107.040688
15/09/2015,16599.84961,4860.52002,1166,22.540001,107.941147
16/09/2015,16739.94922,4889.240234,1175.199951,21.35,108.061813
17/09/2015,16674.74023,4893.950195,1180.689941,21.139999,105.750381
18/09/2015,16384.58008,4827.22998,1163.349976,22.280001,105.314087
21/09/2015,16510.18945,4828.950195,1161.089966,20.139999,106.947884
22/09/2015,16330.46973,4756.720215,1143.030029,22.440001,105.267685
23/09/2015,16279.88965,4752.740234,1140.050049,22.129999,106.121704
24/09/2015,16201.32031,4734.47998,1137.540039,23.469999,106.75293
25/09/2015,16314.66992,4686.5,1122.790039,23.620001,106.483727
28/09/2015,16001.88965,4543.970215,1090.569946,27.629999,104.376534
29/09/2015,16049.12988,4517.319824,1083.910034,26.83,101.238914
30/09/2015,16284.7002,4620.160156,1100.689941,24.5,102.389992
01/10/2015,16272.00977,4627.080078,1097.550049,22.549999,101.721626
02/10/2015,16472.36914,4707.779785,1114.119995,20.940001,102.464249
05/10/2015,16776.42969,4781.259766,1141.640015,19.540001,102.835571
06/10/2015,16790.18945,4748.359863,1133.689941,19.4,103.327553
07/10/2015,16912.28906,4791.149902,1152.599976,18.4,102.835571
08/10/2015,17050.75,4810.790039,1163.23999,17.42,101.647354
09/10/2015,17084.49023,4830.470215,1165.359985,17.08,104.079475
12/10/2015,17131.85938,4838.640137,1164.400024,16.17,103.596771
13/10/2015,17081.89063,4796.609863,1147.839966,17.67,103.773125
14/10/2015,16924.75,4782.850098,1136.969971,18.030001,102.306442
15/10/2015,17141.75,4870.100098,1162.77002,16.049999,103.83812
16/10/2015,17215.9707,4886.689941,1162.310059,15.05,103.07692
19/10/2015,17230.53906,4905.470215,1164.300049,14.98,103.717438
20/10/2015,17217.10938,4880.970215,1163.27002,15.75,105.611145
21/10/2015,17168.60938,4840.120117,1144.949951,16.700001,105.601868
22/10/2015,17489.16016,4920.049805,1154.52002,14.45,107.217094
23/10/2015,17646.69922,5031.859863,1166.060059,14.46,110.540344
26/10/2015,17623.05078,5034.700195,1159.5,15.29,107.01284
27/10/2015,17581.42969,5030.149902,1145.290039,15.43,106.335205
